mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_gbr__learning_rate,param_gbr__max_leaf_nodes,param_gbr__min_samples_leaf,param_gbr__n_estimators,param_gbr__subsample,params,split0_test_neg_mean_squared_error,split1_test_neg_mean_squared_error,split2_test_neg_mean_squared_error,split3_test_neg_mean_squared_error,split4_test_neg_mean_squared_error,split5_test_neg_mean_squared_error,split6_test_neg_mean_squared_error,split7_test_neg_mean_squared_error,split8_test_neg_mean_squared_error,split9_test_neg_mean_squared_error,mean_test_neg_mean_squared_error,std_test_neg_mean_squared_error,rank_test_neg_mean_squared_error,split0_train_neg_mean_squared_error,split1_train_neg_mean_squared_error,split2_train_neg_mean_squared_error,split3_train_neg_mean_squared_error,split4_train_neg_mean_squared_error,split5_train_neg_mean_squared_error,split6_train_neg_mean_squared_error,split7_train_neg_mean_squared_error,split8_train_neg_mean_squared_error,split9_train_neg_mean_squared_error,mean_train_neg_mean_squared_error,std_train_neg_mean_squared_error
0.06028561592102051,0.021137242655399784,0.0008993387222290039,0.0005383252506212989,0.1,2,1,100,0.1,"{'gbr__learning_rate': 0.1, 'gbr__max_leaf_nodes': 2, 'gbr__min_samples_leaf': 1, 'gbr__n_estimators': 100, 'gbr__subsample': 0.1}",-0.003861115442823743,-0.002363705810787839,-0.003472382613259548,-0.001532434234940049,-0.003473516714474831,-0.0063006557742539045,-0.0050828166750607,-0.0021425310182881397,-0.0044024661540798165,-0.002759922461531688,-0.0035391546899500256,0.0013723294220251028,32,-0.0030618715819004955,-0.0032209682237062777,-0.0032533792994512895,-0.0033052946485627593,-0.003267207752389565,-0.0027658382710498575,-0.002865987812023713,-0.003333466990145639,-0.003089138372784881,-0.0031194592133569274,-0.00312826121653714,0.00017976620792962413
0.06300091743469238,0.013055735210250264,0.001100444793701172,0.0003019496558748064,0.1,2,1,100,0.2,"{'gbr__learning_rate': 0.1, 'gbr__max_leaf_nodes': 2, 'gbr__min_samples_leaf': 1, 'gbr__n_estimators': 100, 'gbr__subsample': 0.2}",-0.0036292851476406912,-0.0020301965711821534,-0.0034688770674644195,-0.0017677050381857064,-0.002435590515161797,-0.006569455540852701,-0.00548589675391732,-0.0017726644289432492,-0.004612401968020794,-0.002825908651729838,-0.003459798168309867,0.0015600168464770163,31,-0.002958289477189107,-0.00324734219084155,-0.0029258220678717844,-0.003189829466193878,-0.0030393637125185145,-0.002747190215603671,-0.002848129270073924,-0.0032156437534813774,-0.0030562995232750506,-0.003013913641181423,-0.003024182331823028,0.0001539480850531225
0.06725349426269531,0.013510616370548973,0.0011997699737548828,0.0005999647079154207,0.1,2,1,100,0.25,"{'gbr__learning_rate': 0.1, 'gbr__max_leaf_nodes': 2, 'gbr__min_samples_leaf': 1, 'gbr__n_estimators': 100, 'gbr__subsample': 0.25}",-0.0040723618882556245,-0.0019134074599971619,-0.00389795753020075,-0.0019037200774227078,-0.0027745979445626904,-0.006346634018554687,-0.00590611554463435,-0.001770171782351485,-0.004389403599449035,-0.0028282595568179833,-0.0035802629402246467,0.0015537193263424653,33,-0.003034274972432288,-0.0032469731542465194,-0.002900260941089546,-0.0032378551331907032,-0.0033041580896673176,-0.002779670720550946,-0.002898265375333828,-0.0031642313468377495,-0.0030180831631857635,-0.003248533971337313,-0.0030832306867871976,0.00017317480313623935
0.0639564037322998,0.00833485580510737,0.0015168190002441406,0.0011968817462156953,0.1,2,1,100,0.5,"{'gbr__learning_rate': 0.1, 'gbr__max_leaf_nodes': 2, 'gbr__min_samples_leaf': 1, 'gbr__n_estimators': 100, 'gbr__subsample': 0.5}",-0.004059645335847331,-0.0020729533986031195,-0.0036205301889000135,-0.0018052005984439813,-0.0028728422384608297,-0.006247943470331962,-0.0058957276649300875,-0.0018224127268642051,-0.00457645640247409,-0.0029499409684877313,-0.0035923652993343352,0.0015202262186696717,34,-0.0030291745368124915,-0.003249079378048992,-0.003038387301880738,-0.0031896720193332877,-0.0031834366104576805,-0.0027261744553652924,-0.002875518178867259,-0.003212878204697892,-0.0030023957870113555,-0.003098877161000722,-0.0030605593633475712,0.00015584963608622883
0.06054949760437012,0.015350612984133736,0.0006116390228271485,0.00047605598597045575,0.1,2,1,100,0.75,"{'gbr__learning_rate': 0.1, 'gbr__max_leaf_nodes': 2, 'gbr__min_samples_leaf': 1, 'gbr__n_estimators': 100, 'gbr__subsample': 0.75}",-0.003973975248705749,-0.00220130022593942,-0.0038932739118910783,-0.001638211539766206,-0.0023802353461161298,-0.006565850666560625,-0.006023931279795266,-0.001902995849340937,-0.004458634205009376,-0.0030964010565921797,-0.0036134809329716965,0.0016142878075704546,35,-0.0030495618560285654,-0.0032221072140761918,-0.0030421443558865118,-0.0032395453743248913,-0.003178261358625168,-0.0028124030345713065,-0.0028444065535296525,-0.003250558358596551,-0.0030013348654654563,-0.0031154438658248865,-0.0030755766836929183,0.00014869949129620453
0.04374022483825683,0.001732431097306426,0.0009614944458007813,0.0005807911410015924,0.1,2,1,100,1.0,"{'gbr__learning_rate': 0.1, 'gbr__max_leaf_nodes': 2, 'gbr__min_samples_leaf': 1, 'gbr__n_estimators': 100, 'gbr__subsample': 1.0}",-0.004210598181113046,-0.00247445897742526,-0.004028861822483536,-0.0020090778631748907,-0.0022494208404434312,-0.006564819221846844,-0.006006750648821324,-0.0020815873996565207,-0.00449212967926821,-0.002992833303297899,-0.003711053793753096,0.001552677955874681,36,-0.0031388215134757797,-0.003309677457603578,-0.003141510043137713,-0.003363775351692236,-0.00328747137351028,-0.0028907669621144497,-0.0029487610767391904,-0.0033346619751353133,-0.003087649976334137,-0.003223184733685003,-0.003172628046342768,0.00015369267094802224
0.050163769721984865,0.0021315648265645523,0.0007989645004272461,0.000399524173676552,0.1,3,1,100,0.1,"{'gbr__learning_rate': 0.1, 'gbr__max_leaf_nodes': 3, 'gbr__min_samples_leaf': 1, 'gbr__n_estimators': 100, 'gbr__subsample': 0.1}",-0.00212703621361637,-0.001213668496270045,-0.001049957879602985,-0.0007371043395318391,-0.0009850040074625712,-0.001110532689050334,-0.001764334039653912,-0.0006272080215503575,-0.0011001841587242255,-0.0009237912779352842,-0.0011638821123397922,0.0004324775921556959,26,-0.0008604419566147256,-0.00075335830979694,-0.0007868663807729305,-0.0007698409038950102,-0.0008000563887761379,-0.0007828098343718584,-0.000844801147405599,-0.0007772581624706802,-0.0008916899056028375,-0.0009874710483433182,-0.0008254594038050037,6.841140234544902e-05
0.04936082363128662,0.0028024169766091484,0.0009427785873413086,0.000175670137138299,0.1,3,1,100,0.2,"{'gbr__learning_rate': 0.1, 'gbr__max_leaf_nodes': 3, 'gbr__min_samples_leaf': 1, 'gbr__n_estimators': 100, 'gbr__subsample': 0.2}",-0.0017425795046039137,-0.0016017803208370851,-0.0009423057670703715,-0.0008064842784403207,-0.0009578988822698875,-0.0017276971747680772,-0.0022008182530667635,-0.0012365538557697893,-0.0008697517244231074,-0.0008830832977427759,-0.0012968953058992093,0.0004618164810802797,29,-0.0007925962624523568,-0.0007761223012554546,-0.0007952811917099975,-0.0006878515293358659,-0.0007202993946800373,-0.0007828863117924454,-0.0007662371703399673,-0.0007110707295537888,-0.0008396927053743844,-0.0007093068748821275,-0.0007581344471376426,4.603414353612817e-05
0.05028703212738037,0.005505505133649067,0.0008022308349609375,0.00040116022474644505,0.1,3,1,100,0.25,"{'gbr__learning_rate': 0.1, 'gbr__max_leaf_nodes': 3, 'gbr__min_samples_leaf': 1, 'gbr__n_estimators': 100, 'gbr__subsample': 0.25}",-0.0015903599273700514,-0.0013454916608822164,-0.0011310150351918967,-0.0005487780378691725,-0.0008915096664458959,-0.0010804559407613442,-0.0017744754571457106,-0.0005043145251361088,-0.001188978537005813,-0.0007916360392080263,-0.0010847014827016234,0.0003949430567331026,25,-0.000719492796220662,-0.0007441389549300716,-0.0007101677640502984,-0.000663563815263545,-0.0007894728888246989,-0.000805406334275141,-0.0006512708034412635,-0.0007266838973515025,-0.0008026376574582667,-0.0007135025617234413,-0.0007326337473538891,5.101847389316654e-05
0.05825448036193848,0.006004633718584902,0.000699925422668457,0.0004582090502220543,0.1,3,1,100,0.5,"{'gbr__learning_rate': 0.1, 'gbr__max_leaf_nodes': 3, 'gbr__min_samples_leaf': 1, 'gbr__n_estimators': 100, 'gbr__subsample': 0.5}",-0.0019052582475669337,-0.0013770562037262886,-0.0009321467198793484,-0.0005992086867141337,-0.0008072826712170434,-0.0014976624897397911,-0.002144127973494195,-0.0006763423999495851,-0.0008815942207278017,-0.0008824383218837757,-0.0011703117934898897,0.0005062876861038278,27,-0.0006815575702993194,-0.0006749326331395211,-0.0006612786461030012,-0.0008023898355450302,-0.0007062669256109262,-0.0008182698578022853,-0.0006445194835352487,-0.0007365876327002428,-0.000789970223809708,-0.000721109716938315,-0.0007236882525483597,5.858687753564138e-05
0.05319797992706299,0.0017776265587097918,0.0008001565933227539,0.0004000964461757252,0.1,3,1,100,0.75,"{'gbr__learning_rate': 0.1, 'gbr__max_leaf_nodes': 3, 'gbr__min_samples_leaf': 1, 'gbr__n_estimators': 100, 'gbr__subsample': 0.75}",-0.001779658505356361,-0.0015913422614158214,-0.001100610578963108,-0.0003799737792591891,-0.0009745002315502936,-0.001229329609751009,-0.0020650615833716405,-0.0006738060091347429,-0.001226963542926316,-0.0009765037389374404,-0.0011997749840665923,0.00047948651115334615,28,-0.0006756368279024514,-0.000740620329245287,-0.0007246919026170144,-0.0007604070532210555,-0.0007396798668002444,-0.000769128624398055,-0.0006970658307013896,-0.0007179581286846096,-0.0007914595636334195,-0.0007593054887180514,-0.0007375953615921578,3.306738627678298e-05
0.04341003894805908,0.0019216582806121992,0.0008930683135986329,0.0002984501413035156,0.1,3,1,100,1.0,"{'gbr__learning_rate': 0.1, 'gbr__max_leaf_nodes': 3, 'gbr__min_samples_leaf': 1, 'gbr__n_estimators': 100, 'gbr__subsample': 1.0}",-0.001806278357557524,-0.0020883995239603407,-0.0017467423133027335,-0.0005083156064466782,-0.0012368534659172213,-0.001539016370624773,-0.0016992223650343593,-0.000635467688854353,-0.0013867055556812777,-0.0007532472999984702,-0.0013400248547377732,0.0005154385449375781,30,-0.0007520466299449696,-0.0007503345335247031,-0.0008174038037912432,-0.0008305656878693002,-0.0008009896978152875,-0.0008134237941795658,-0.0007915841603385376,-0.0008397690729925923,-0.0008313714117070088,-0.0007984333028761272,-0.0008025922095039335,2.9591123176140805e-05
0.048789358139038085,0.0017158761665030725,0.0009805917739868163,0.0004494634329356798,0.1,4,1,100,0.1,"{'gbr__learning_rate': 0.1, 'gbr__max_leaf_nodes': 4, 'gbr__min_samples_leaf': 1, 'gbr__n_estimators': 100, 'gbr__subsample': 0.1}",-0.001363887966974943,-0.001425186759786374,-0.000791094368153456,-0.0004675972295089176,-0.0005842632737746657,-0.000801023556570071,-0.0020088924769649497,-0.00068623857350169,-0.0008278813086388749,-0.0004152522131854363,-0.0009371317727059379,0.00047969387089343793,24,-0.0006033377369410048,-0.00048768436285262425,-0.00046000751523036663,-0.0006373273180710163,-0.0005384584721156758,-0.0004765212572088078,-0.000535637512007415,-0.0004955985193906985,-0.0004849817015118361,-0.000507856837012452,-0.0005227411232341897,5.451968174248198e-05
0.052135801315307616,0.0025113334295459866,0.0007999420166015625,0.0003999712072671187,0.1,4,1,100,0.2,"{'gbr__learning_rate': 0.1, 'gbr__max_leaf_nodes': 4, 'gbr__min_samples_leaf': 1, 'gbr__n_estimators': 100, 'gbr__subsample': 0.2}",-0.0006054111064112003,-0.0007380501730729525,-0.0007631726603323702,-0.0005724910095510507,-0.0006301148339832523,-0.00061958144450564,-0.0013189417289245888,-0.00038768045601446436,-0.0006028845327696785,-0.0003448862167411508,-0.0006583214162306349,0.00025313905537511806,23,-0.0003272244378616758,-0.00033504139459651107,-0.0004571668080531728,-0.0003864868908984387,-0.00036546554331661716,-0.0004243894064202057,-0.00030874893872457753,-0.0002985375451064759,-0.0003655034214108041,-0.0003391994732301795,-0.0003607763859618658,4.783012409525515e-05
0.0505638837814331,0.0028290366694910547,0.0008865594863891602,0.00029829749361489743,0.1,4,1,100,0.25,"{'gbr__learning_rate': 0.1, 'gbr__max_leaf_nodes': 4, 'gbr__min_samples_leaf': 1, 'gbr__n_estimators': 100, 'gbr__subsample': 0.25}",-0.0005866537979091763,-0.0008677698397378208,-0.0006219435459202511,-0.0004277772157392399,-0.00037430038302934375,-0.0005656135081415955,-0.0009904802526246965,-0.00037463854537869305,-0.0004357548357149163,-0.00033854585550546616,-0.0005583477779701199,0.00020866050017087458,22,-0.00030371691378674353,-0.00029309185746895564,-0.0003487069977810983,-0.00035240143306996684,-0.0002916923070720026,-0.0003542812748698044,-0.0002832030211664682,-0.0003269867671096244,-0.0004096017847386438,-0.000340472591480156,-0.00033041549485434633,3.6885331730743207e-05
0.05219204425811767,0.002980793642667717,0.0011070966720581055,0.0002978897415686375,0.1,4,1,100,0.5,"{'gbr__learning_rate': 0.1, 'gbr__max_leaf_nodes': 4, 'gbr__min_samples_leaf': 1, 'gbr__n_estimators': 100, 'gbr__subsample': 0.5}",-0.00045422810448689607,-0.0009005169588277163,-0.0005260869667561929,-0.0002576873819559359,-0.0003535119267913041,-0.0003428893968027333,-0.0008742692957343643,-0.00027974437789515994,-0.0002939720919518778,-0.00040732191123509187,-0.0004690228412437272,0.000223176670115573,16,-0.00023768674163461098,-0.0002811218060173582,-0.00029141856866962365,-0.00027672182383705,-0.0002758865960741445,-0.00027721308642225266,-0.0002824310606109826,-0.00023176139820773204,-0.00027030230537381276,-0.00027850770914221467,-0.0002703051095989782,1.856535317078051e-05
0.05509603023529053,0.003188347310494773,0.0008008718490600586,0.0004004393660087521,0.1,4,1,100,0.75,"{'gbr__learning_rate': 0.1, 'gbr__max_leaf_nodes': 4, 'gbr__min_samples_leaf': 1, 'gbr__n_estimators': 100, 'gbr__subsample': 0.75}",-0.0005935050485846871,-0.000719489279298419,-0.0005237201780694275,-0.0002811614794463949,-0.00040409924214277035,-0.00039381864766848394,-0.0011477444772331816,-0.0003018161137471844,-0.00029426263080583156,-0.00032789866198394067,-0.000498751575898032,0.0002562467615918041,18,-0.00026453173727416027,-0.00022427539387270167,-0.0002482133741445733,-0.00024608357153732254,-0.00025976895619263604,-0.00023026388331541536,-0.0002465169025460784,-0.00024829754010630107,-0.0002396164343615267,-0.0002690602549189141,-0.00024766280482696294,1.3445896314781506e-05
